系列,机型,类型,版本,地址,大小
小米8/探索版/屏幕指纹版,小米8,稳定版,V12.5.2.0.QEACNXM （MIUI12）,https://bigota.d.miui.com/V12.5.2.0.QEACNXM/miui_MI8_V12.5.2.0.QEACNXM_f5ec813d1c_10.0.zip,2.1G
小米8/探索版/屏幕指纹版,小米8,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI8_9.9.3_0fb85e6431_9.0.zip,2.2G
小米8/探索版/屏幕指纹版,小米8探索版,稳定版,V12.5.3.0.QEHCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.3.0.QEHCNXM/miui_MI8Explorer_V12.5.3.0.QEHCNXM_f74f11c229_10.0.zip,2.2G
小米8/探索版/屏幕指纹版,小米8探索版,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI8Explorer_9.9.3_38cd89d21c_9.0.zip,2.2G
小米8/探索版/屏幕指纹版,小米8屏幕指纹版,稳定版,V12.5.2.0.QECCNXM （MIUI11）,https://bigota.d.miui.com/V12.5.2.0.QECCNXM/miui_MI8UD_V12.5.2.0.QECCNXM_c300f2cfad_10.0.zip,2.1G
小米8/探索版/屏幕指纹版,小米8屏幕指纹版,开发版,9.9.3 （MIUI10）,https://bigota.d.miui.com/9.9.3/miui_MI8UD_9.9.3_03f07e3d60_9.0.zip,2.1G
红米Note 4X,红米Note 4X(高通平台),稳定版,V11.0.2.0.NCFCNXM （MIUI11）,https://bigota.d.miui.com/V11.0.2.0.NCFCNXM/miui_HMNote4X_V11.0.2.0.NCFCNXM_8e61b3fb88_7.0.zip,1.5G
红米Note 4X,红米Note 4X(高通平台),开发版,9.8.29 （MIUI10）,https://bigota.d.miui.com/9.8.29/miui_HMNote4X_9.8.29_362b2b9edd_7.0.zip,1.6G
红米Note 4X,红米Note 4X(MTK平台),稳定版,V10.2.2.0.MBFCNXM （MIUI10）,https://bigota.d.miui.com/V10.2.2.0.MBFCNXM/miui_HMNote4_V10.2.2.0.MBFCNXM_e09e80fca4_6.0.zip,1.4G
红米Note 4X,红米Note 4X(MTK平台),开发版,9.3.21 （MIUI10）,https://bigota.d.miui.com/9.3.21/miui_HMNote4_9.3.21_a1683494d2_6.0.zip,1.4G
